GID_1,NAME_1,GID_2,NAME_2,Community,X,Y
IND.20_1,Maharashtra,IND.20.17_1,Mumbai City,C1,72.82833481,18.97277928
IND.25_1,NCT of Delhi,IND.25.1_1,West,C2,77.11900427,28.64565564
IND.36_1,West Bengal,IND.36.11_1,Kolkata,C3,88.37065089,22.56601048
IND.31_1,Tamil Nadu,IND.31.2_1,Chennai,C4,80.22603057,13.04264689
IND.16_1,Karnataka,IND.16.3_1,Bangalore,C5,77.54448326,12.93514586
IND.32_1,Telangana,IND.32.2_1,Hyderabad,C6,78.45411777,17.37545014
IND.11_1,Gujarat,IND.11.1_1,Ahmadabad,C7,72.29946746,22.7579403
IND.29_1,Rajasthan,IND.29.17_1,Jaipur,C8,75.74774398,27.15617657
IND.34_1,Uttar Pradesh,IND.34.42_1,Kanpur Dehat,C9,79.84808029,26.46121025
IND.28_1,Punjab,IND.28.12_1,Ludhiana,C10,75.8146962,30.79228974
IND.4_1,Assam,IND.4.15_1,Kamrup Metropolitan,C11,91.90146508,26.1258831
IND.21_1,Manipur,IND.21.4_1,Imphal East,C12,94.00714577,24.86254692
IND.14_1,Jammu and Kashmir,IND.14.21_1,Srinagar,C13,74.91243915,34.12499428
IND.17_1,Kerala,IND.17.12_1,Thiruvananthapuram,C14,77.03999955,8.575276375
IND.23_1,Mizoram,IND.23.7_1,Saiha,C15,93.08048195,22.3790617
IND.19_1,Madhya Pradesh,IND.19.9_1,Bhopal,C16,77.39245915,23.4971056
IND.2_1,Andhra Pradesh,IND.2.3_1,East Godavari,C17,82.0414856,17.1577797
IND.26_1,Odisha,IND.26.26_1,Puri,C18,85.62688751,19.82527828
IND.7_1,Chhattisgarh,IND.7.22_1,Raipur,C19,81.80542966,21.20096207
IND.5_1,Bihar,IND.5.26_1,Patna,C20,85.18558974,25.46722508
IND.31_1,Tamil Nadu,IND.31.26_1,Tiruchirappalli,C21,78.70943227,10.8365798
