row,col,code,NAME_1,GID_1,region,RegionName_oxPolicy,RegionCode_oxPolicy,Google_sub_region_1,Google_iso_3166_2_code
7,7,IND.1_1,Andaman and Nicobar,IND.1_1,Southern,Andaman and Nicobar Islands,IND_AN,Andaman and Nicobar Islands,IN-AN
6,4,IND.2_1,Andhra Pradesh,IND.2_1,Southern,Andhra Pradesh,IND_AP,Andhra Pradesh,IN-AP
2,7,IND.3_1,Arunachal Pradesh,IND.3_1,North-Eastern,Arunachal Pradesh,IND_AR,Arunachal Pradesh,IN-AR
3,6,IND.4_1,Assam,IND.4_1,North-Eastern,Assam,IND_AS,Assam,IN-AS
3,4,IND.5_1,Bihar,IND.5_1,Eastern,Bihar,IND_BR,Bihar,IN-BR
2,2,IND.6_1,Chandigarh,IND.6_1,Northern,Chandigarh,IND_CH,Chandigarh,IN-CH
4,3,IND.7_1,Chhattisgarh,IND.7_1,Central,Chhattisgarh,IND_CT,Chhattisgarh,IN-CT
5,3,IND.8_1,Dadra and Nagar Haveli,IND.8_1,Western,Dadra and Nagar Haveli and Daman and Diu,IND_DD,Dadra and Nagar Haveli,IN-DN
5,2,IND.9_1,Daman and Diu,IND.9_1,Western,Dadra and Nagar Haveli and Daman and Diu,IND_DD,Daman and Diu,IN-DD
7,2,IND.10_1,Goa,IND.10_1,Western,Goa,IND_GA,Goa,IN-GA
5,1,IND.11_1,Gujarat,IND.11_1,Western,Gujarat,IND_GJ,Gujarat,IN-GJ
3,1,IND.12_1,Haryana,IND.12_1,Northern,Haryana,IND_HR,Haryana,IN-HR
1,3,IND.13_1,Himachal Pradesh,IND.13_1,Northern,Himachal Pradesh,IND_HP,Himachal Pradesh,IN-HP
1,2,IND.14_1,Jammu and Kashmir,IND.14_1,Northern,Jammu and Kashmir,IND_JK,Jammu and Kashmir,IN-JK
4,4,IND.15_1,Jharkhand,IND.15_1,Eastern,Jharkhand,IND_JH,Jharkhand,IN-JH
7,3,IND.16_1,Karnataka,IND.16_1,Southern,Karnataka,IND_KA,Karnataka,IN-KA
8,3,IND.17_1,Kerala,IND.17_1,Southern,Kerala,IND_KL,Kerala,IN-KL
8,2,IND.18_1,Lakshadweep,IND.18_1,Southern,Lakshadweep,IND_LD,Lakshadweep,IN-LD
4,2,IND.19_1,Madhya Pradesh,IND.19_1,Central,Madhya Pradesh,IND_MP,Madhya Pradesh,IN-MP
6,2,IND.20_1,Maharashtra,IND.20_1,Western,Maharashtra,IND_MH,Maharashtra,IN-MH
4,7,IND.21_1,Manipur,IND.21_1,North-Eastern,Manipur,IND_MN,Manipur,IN-MN
4,6,IND.22_1,Meghalaya,IND.22_1,North-Eastern,Meghalaya,IND_ML,Meghalaya,IN-ML
5,7,IND.23_1,Mizoram,IND.23_1,North-Eastern,Mizoram,IND_MZ,Mizoram,IN-MZ
3,7,IND.24_1,Nagaland,IND.24_1,North-Eastern,Nagaland,IND_NL,Nagaland,IN-NL
3,2,IND.25_1,NCT of Delhi,IND.25_1,Northern,Delhi,IND_DL,Delhi,IN-DL
5,4,IND.26_1,Odisha,IND.26_1,Eastern,Odisha,IND_OR,Odisha,IN-OR
7,4,IND.27_1,Puducherry,IND.27_1,Southern,Puducherry,IND_PY,Puducherry,IN-PY
2,1,IND.28_1,Punjab,IND.28_1,Northern,Punjab,IND_PB,Punjab,IN-PB
4,1,IND.29_1,Rajasthan,IND.29_1,Northern,Rajasthan,IND_RJ,Rajasthan,IN-RJ
3,5,IND.30_1,Sikkim,IND.30_1,North-Eastern,Sikkim,IND_SK,Sikkim,IN-SK
8,4,IND.31_1,Tamil Nadu,IND.31_1,Southern,Tamil Nadu,IND_TN,Tamil Nadu,IN-TN
6,3,IND.32_1,Telangana,IND.32_1,Southern,Telangana,IND_TG,Telangana,IN-TG
5,6,IND.33_1,Tripura,IND.33_1,North-Eastern,Tripura,IND_TR,Tripura,IN-TR
3,3,IND.34_1,Uttar Pradesh,IND.34_1,Central,Uttar Pradesh,IND_UP,Uttar Pradesh,IN-UP
2,3,IND.35_1,Uttarakhand,IND.35_1,Central,Uttarakhand,IND_UT,Uttarakhand,IN-UT
4,5,IND.36_1,West Bengal,IND.36_1,Eastern,West Bengal,IND_WB,West Bengal,IN-WB
